Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",92.000000,-101.000000,180.000000,top
"C2","100n","C_0402_1005Metric",95.628680,-92.355000,-90.000000,top
"C3","100n","C_0402_1005Metric",86.770000,-88.500000,0.000000,top
"C4","100n","C_0402_1005Metric",83.250000,-91.480000,90.000000,top
"C5","10n","C_0805_2012Metric",86.770000,-86.250000,0.000000,top
"C6","10n","C_0402_1005Metric",83.028680,-95.730000,90.000000,top
"C7","1n","C_0402_1005Metric",82.548680,-99.000000,180.000000,top
"C8","1n","C_0402_1005Metric",82.548680,-100.520000,180.000000,top
"C9","100n","C_0402_1005Metric",86.548680,-101.000000,0.000000,top
"C10","10p","C_0402_1005Metric",80.725000,-92.595000,90.000000,top
"C11","10p","C_0402_1005Metric",80.725000,-94.675000,90.000000,top
"C12","22u","C_0805_2012Metric",98.878680,-96.800000,0.000000,top
"C13","22u","C_0805_2012Metric",104.628680,-102.150000,90.000000,top
"D1","RED","LED_0603_1608Metric",107.950000,-102.387500,-90.000000,top
"FB1","120R","L_0603_1608Metric",84.428680,-99.787500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",109.928680,-93.475000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",103.428680,-82.250000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",87.448680,-82.250000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",85.325000,-107.750000,90.000000,top
"R1","10k","R_0402_1005Metric",77.500000,-88.135000,90.000000,top
"R2","1k5","R_0402_1005Metric",98.625000,-92.910000,90.000000,top
"R3","1k5","R_0402_1005Metric",108.365000,-100.000000,180.000000,top
"R4","1k5","R_0402_1005Metric",87.378680,-104.750000,180.000000,top
"R5","1k5","R_0402_1005Metric",90.250000,-104.000000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",72.958680,-90.025000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",89.291180,-94.800000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",99.678680,-102.400000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",78.275000,-93.575000,-90.000000,top
